razao_social,cnpj,raiz_cnpj
AP COSMETICS LTDA,48.290.289/0001-57,48.290.289
AP COSMETICS LTDA,48.290.289/0003-19,48.290.289
AP COSMETICS LTDA,48.290.289/0002-38,48.290.289
ÁPICE COSMETICS AS,26.301.600/0001-83,26.301.600
AZBUY COMERCIO LTDA,10.256.416/0001-29,10.256.416
BARBOUR HOLDING S.A.,54.595.758/0001-49,54.595.758
BB ATACADO LTDA,54.190.174/0001-93,54.190.174
BB INDUSTRIA E COMERCIO DE ARTIGOS DE USO PESSOAL LTDA,36.838.707/0001-19,36.838.707
BB INDUSTRIA E COMERCIO DE ARTIGOS DE USO PESSOAL LTDA,36.838.707/0002-08,36.838.707
BB VAREJO LTDA,54.137.817/0001-35,54.137.817
BB VAREJO LTDA,54.137.817/0002-16,54.137.817
BB VAREJO LTDA,54.137.817/0003-05,54.137.817
BB VAREJO LTDA,54.137.817/0004-88,54.137.817
Antiga - Go Beauty gestão de Serviços LTDA),57.168.111/0001-29,57.168.111
BEAUTY HUB ATACADO LTDA,60.453.002/0001-68,60.453.002
BEAUTY HUB VAREJO LTDA,60.453.162/0001-07,60.453.162
BEAUTY HUB VAREJO LTDA,60.453.162/0002-98,60.453.162
BEAUTY HUB VAREJO LTDA,60.453.162/0003-79,60.453.162
COMPRERAMA COMERCIAL LTDA,36.703.992/0001-60,36.703.992
GO COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,22.165.464/0001-90,22.165.464
GO COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,22.165.464/0003-52,22.165.464
GO COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,22.165.464/0002-71,22.165.464
GO COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,22.165.464/0004-33,22.165.464
"GO GROUP INVESTIMENTOS, ASSESSORIA, GESTAO E PARTICIPACOES LTDA",46.551.987/0001-33,46.551.987
GO INTER COMERCIAL IMPORTADORA E EXPORTADORA LTDA,53.182.517/0001-05,53.182.517
GO INV PARTICIPAÇÕES LTDA,54.321.345/0001-76,54.321.345
GOB COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,23.860.650/0001-02,23.860.650
GOB COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,23.860.650/0005-36,23.860.650
GP COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,46.743.270/0001-93,46.743.270
GP COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,46.743.270/0003-55,46.743.270
GR COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,46.537.034/0001-10,46.537.034
GR COMERCIO DE ARTIGOS ELETRONICOS E ACESSORIOS LTDA,46.537.034/0002-00,46.537.034
GRA MARKETING DIGITAL E SERVICOS LTDA,36.202.300/0001-09,36.202.300
ITAREMA HOLDING LTDA,53.717.946/0001-30,53.717.946
KOKE PARTNERS LTDA,54.047.425/0001-85,54.047.425
KOKESHI HOLDING S.A.,58.319.197/0001-06,58.319.197
KOKESHI VAREJO LTDA,58.181.480/0001-14,58.181.480
LESCENT ATACADO LTDA,57.443.771/0001-70,57.443.771
LESCENT VAREJO LTDA,57.344.563/0001-14,57.344.563
MAGA COMERCIO DE PRODUTOS COSMETICOS AS,38.246.589/0001-85,38.246.589
MAGA COMERCIO DE PRODUTOS COSMETICOS AS,38.246.589/0002-66,38.246.589
MAGA COMERCIO DE PRODUTOS COSMETICOS AS,38.246.589/0003-47,38.246.589
MAGA COMERCIO DE PRODUTOS COSMETICOS AS,38.246.589/0004-28,38.246.589
RITU PARTNERS LTDA,58.323.315/0001-50,58.323.315
